Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,46.24,46.67,46.12,46.59,28000,0.0,0.0
2015-11-17,46.59,46.59,46.59,46.59,0,0.0,0.0
2015-11-18,46.2,46.2,45.08,45.08,400,0.0,0.0
2015-11-19,45.08,45.08,45.08,45.08,0,0.0,0.0
2015-11-20,43.26,44.75,43.26,44.75,1500,0.0,0.0
2015-11-23,44.36,44.36,43.36,43.45,26500,0.0,0.0
2015-11-24,44.16,44.38,43.43,43.43,1600,0.0,0.0
2015-11-25,42.94,42.96,42.94,42.96,100,0.0,0.0
2015-11-27,43.3,43.3,43.14,43.14,300,0.0,0.0
2015-11-30,43.47,43.47,43.47,43.47,1000,0.0,0.0
2015-12-01,43.47,43.47,43.47,43.47,0,0.0,0.0
2015-12-02,43.94,43.94,43.3,43.94,7200,0.0,0.0
2015-12-03,43.51,44.02,43.51,44.0,6800,0.0,0.0
2015-12-04,43.06,43.22,43.04,43.22,700,0.0,0.0
2015-12-07,42.89,42.93,42.89,42.93,200,0.0,0.0
2015-12-08,43.81,43.81,43.34,43.4,1200,0.0,0.0
2015-12-09,43.1,43.34,43.1,43.24,900,0.0,0.0
2015-12-10,43.71,43.89,43.71,43.89,200,0.0,0.0
2015-12-11,45.2,45.2,45.02,45.02,200,0.0,0.0
2015-12-14,45.12,45.32,45.06,45.14,200,0.0,0.0
2015-12-15,45.14,45.14,45.14,45.14,0,0.0,0.0
2015-12-16,43.12,43.12,43.12,43.12,500,0.0,0.0
2015-12-17,42.96,43.24,42.79,43.24,400,0.0,0.0
2015-12-18,44.28,44.28,43.92,43.92,600,0.0,0.0
2015-12-21,43.57,44.06,43.57,44.06,400,0.0,0.0
2015-12-22,44.06,44.06,44.06,44.06,0,0.0,0.0
2015-12-23,42.61,42.61,42.45,42.45,200,0.0,0.0
2015-12-24,42.45,42.45,42.45,42.45,100,0.0,0.0
2015-12-28,42.45,42.45,42.45,42.45,0,0.0,0.0
2015-12-29,42.45,42.45,42.16,42.16,5100,0.0,0.0
2015-12-30,42.16,42.16,42.16,42.16,0,0.0,0.0
2015-12-31,42.16,42.16,42.16,42.16,0,0.0,0.0
2016-01-04,42.16,42.16,42.16,42.16,0,0.0,0.0
2016-01-05,44.26,44.26,44.26,44.26,800,0.0,0.0
2016-01-06,44.94,44.94,44.94,44.94,100,0.0,0.0
2016-01-07,47.18,47.18,45.98,45.98,200,0.0,0.0
2016-01-08,46.63,47.02,46.63,47.02,2800,0.0,0.0
2016-01-11,47.02,47.77,47.02,47.43,2700,0.0,0.0
2016-01-12,46.39,46.49,46.39,46.49,600,0.0,0.0
2016-01-13,46.49,48.08,46.49,47.94,500,0.0,0.0
2016-01-14,47.71,48.57,47.71,48.08,300,0.0,0.0
2016-01-15,49.51,50.08,49.49,49.59,700,0.0,0.0
2016-01-19,48.39,49.26,48.39,49.16,34200,0.0,0.0
2016-01-20,49.9,51.47,49.2,49.2,1300,0.0,0.0
2016-01-21,49.2,49.2,49.2,49.2,300,0.0,0.0
2016-01-22,47.61,47.61,47.61,47.61,400,0.0,0.0
2016-01-25,49.49,49.49,47.18,47.94,800,0.0,0.0
2016-01-26,48.83,48.83,46.55,47.22,1000,0.0,0.0
2016-01-27,47.02,47.02,46.45,46.45,1300,0.0,0.0
2016-01-28,48.3,48.3,46.41,46.55,600,0.0,0.0
2016-01-29,44.96,44.96,44.69,44.69,200,0.0,0.0
2016-02-01,45.04,45.04,43.85,43.85,1800,0.0,0.0
2016-02-02,45.3,45.34,45.3,45.34,200,0.0,0.0
2016-02-03,45.34,45.34,45.34,45.34,0,0.0,0.0
2016-02-04,46.06,46.26,46.06,46.26,200,0.0,0.0
2016-02-05,46.69,47.34,46.61,47.28,1300,0.0,0.0
2016-02-08,48.02,48.75,47.55,47.96,1200,0.0,0.0
2016-02-09,48.02,48.28,47.12,47.12,700,0.0,0.0
2016-02-10,47.02,47.55,47.02,47.55,100,0.0,0.0
2016-02-11,48.08,48.9,48.08,48.53,1100,0.0,0.0
2016-02-12,48.35,48.35,47.94,47.94,300,0.0,0.0
2016-02-16,46.53,46.83,45.81,45.96,600,0.0,0.0
2016-02-17,46.61,46.61,44.3,44.3,1100,0.0,0.0
2016-02-18,44.71,44.71,44.49,44.49,300,0.0,0.0
2016-02-19,45.04,45.04,44.43,44.43,600,0.0,0.0
2016-02-22,43.57,43.83,43.53,43.59,3600,0.0,0.0
2016-02-23,44.85,44.85,43.45,44.0,700,0.0,0.0
2016-02-24,44.65,44.89,44.26,44.26,400,0.0,0.0
2016-02-25,42.85,42.85,42.49,42.49,100,0.0,0.0
2016-02-26,42.65,42.83,42.59,42.83,700,0.0,0.0
2016-02-29,42.83,42.83,42.47,42.49,40600,0.0,0.0
2016-03-01,42.24,42.24,42.24,42.24,100,0.0,0.0
2016-03-02,42.73,42.73,42.24,42.24,200,0.0,0.0
2016-03-03,42.24,42.24,42.24,42.24,0,0.0,0.0
2016-03-04,40.51,40.51,40.51,40.51,300,0.0,0.0
2016-03-07,41.14,41.14,41.1,41.1,100,0.0,0.0
2016-03-08,41.34,41.34,41.34,41.34,0,0.0,0.0
2016-03-09,41.14,41.14,41.14,41.14,100,0.0,0.0
2016-03-10,41.14,41.14,41.14,41.14,0,0.0,0.0
2016-03-11,40.57,40.57,40.57,40.57,300,0.0,0.0
2016-03-14,40.57,40.57,40.57,40.57,0,0.0,0.0
2016-03-15,40.97,40.97,40.42,40.42,200,0.0,0.0
2016-03-16,40.77,40.77,40.77,40.77,500,0.0,0.0
2016-03-17,39.24,39.24,39.24,39.24,100,0.0,0.0
2016-03-18,39.04,39.2,39.04,39.2,500,0.0,0.0
2016-03-21,39.2,39.2,38.97,39.01,400,0.0,0.0
2016-03-22,39.18,40.0,39.06,40.0,1700,0.0,0.0
2016-03-23,39.59,39.67,39.59,39.67,200,0.0,0.0
2016-03-24,40.16,40.16,40.16,40.16,100,0.0,0.0
2016-03-28,40.16,40.16,40.16,40.16,0,0.0,0.0
2016-03-29,39.59,39.59,39.59,39.59,100,0.0,0.0
