Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,62.0,62.0,62.0,62.0,0,0,0
2015-11-17,62.0,62.0,62.0,62.0,0,0,0
2015-11-18,62.0,62.0,62.0,62.0,0,0,0
2015-11-19,62.0,62.0,62.0,62.0,0,0,0
2015-11-20,62.0,62.0,62.0,62.0,0,0,0
2015-11-23,62.0,62.0,62.0,62.0,0,0,0
2015-11-24,62.0,62.0,62.0,62.0,0,0,0
2015-11-25,62.0,62.0,62.0,62.0,0,0,0
2015-11-27,62.0,62.0,62.0,62.0,0,0,0
2015-11-30,62.0,62.0,62.0,62.0,0,0,0
2015-12-01,62.0,62.0,62.0,62.0,0,0,0
2015-12-02,62.0,62.0,62.0,62.0,0,0,0
2015-12-03,62.0,62.0,62.0,62.0,0,0,0
2015-12-04,62.0,62.0,62.0,62.0,0,0,0
2015-12-07,62.0,62.0,62.0,62.0,0,0,0
2015-12-08,67.25,67.25,66.8,66.8,200,0,0
2015-12-09,66.8,66.8,66.8,66.8,0,0,0
2015-12-10,66.8,66.8,66.8,66.8,0,0,0
2015-12-11,68.25,68.25,68.25,68.25,700,0,0
2015-12-14,68.25,68.25,68.25,68.25,0,0,0
2015-12-15,68.25,68.25,68.25,68.25,0,0,0
2015-12-16,68.25,68.25,68.25,68.25,0,0,0
2015-12-17,68.25,68.25,68.25,68.25,0,0,0
2015-12-18,68.25,68.25,68.25,68.25,0,0,0
2015-12-21,68.25,68.25,68.25,68.25,0,0,0
2015-12-22,68.25,68.25,68.25,68.25,0,0,0
2015-12-23,68.25,68.25,68.25,68.25,0,0,0
2015-12-24,68.25,68.25,68.25,68.25,0,0,0
2015-12-28,68.25,68.25,68.25,68.25,0,0,0
2015-12-29,68.25,68.25,68.25,68.25,0,0,0
2015-12-30,68.25,68.25,68.25,68.25,0,0,0
2015-12-31,68.25,68.25,68.25,68.25,0,0,0
2016-01-04,68.25,68.25,68.25,68.25,0,0,0
2016-01-05,68.25,68.25,68.25,68.25,0,0,0
2016-01-06,68.25,68.25,68.25,68.25,0,0,0
2016-01-07,68.5,68.5,68.5,68.5,200,0,0
2016-01-08,68.5,68.5,68.5,68.5,0,0,0
2016-01-11,67.5,67.5,67.5,67.5,100,0,0
2016-01-12,67.5,67.5,67.5,67.5,0,0,0
2016-01-13,67.5,67.5,67.5,67.5,0,0,0
2016-01-14,67.5,67.5,67.5,67.5,0,0,0
2016-01-15,67.5,67.5,67.5,67.5,0,0,0
2016-01-19,67.5,67.5,67.5,67.5,0,0,0
2016-01-20,67.5,67.5,67.5,67.5,0,0,0
2016-01-21,61.5,61.5,61.5,61.5,200,0,0
2016-01-22,61.5,61.5,61.5,61.5,0,0,0
2016-01-25,61.5,61.5,61.5,61.5,0,0,0
2016-01-26,61.5,61.5,61.5,61.5,0,0,0
2016-01-27,61.5,61.5,61.5,61.5,0,0,0
2016-01-28,61.5,61.5,61.5,61.5,0,0,0
2016-01-29,61.5,61.5,61.5,61.5,0,0,0
2016-02-01,61.5,61.5,61.5,61.5,0,0,0
2016-02-02,61.5,61.5,61.5,61.5,0,0,0
2016-02-03,61.5,61.5,61.5,61.5,0,0,0
2016-02-04,61.5,61.5,61.5,61.5,0,0,0
2016-02-05,61.5,61.5,61.5,61.5,0,0,0
2016-02-08,61.5,61.5,61.5,61.5,0,0,0
2016-02-09,61.5,61.5,61.5,61.5,0,0,0
2016-02-10,61.5,61.5,61.5,61.5,0,0,0
2016-02-11,61.5,61.5,61.5,61.5,0,0,0
2016-02-12,61.5,61.5,61.5,61.5,0,0,0
2016-02-16,61.5,61.5,61.5,61.5,0,0,0
2016-02-17,61.5,61.5,61.5,61.5,0,0,0
2016-02-18,61.5,61.5,61.5,61.5,0,0,0
2016-02-19,61.5,61.5,61.5,61.5,0,0,0
2016-02-22,61.5,61.5,61.5,61.5,0,0,0
2016-02-23,61.5,61.5,61.5,61.5,0,0,0
2016-02-24,61.5,61.5,61.5,61.5,0,0,0
2016-02-25,61.5,61.5,61.5,61.5,0,0,0
2016-02-26,79.6,79.6,79.6,79.6,200,0,0
2016-02-29,79.6,79.6,79.6,79.6,0,0,0
2016-03-01,79.6,79.6,79.6,79.6,0,0,0
2016-03-02,79.6,79.6,79.6,79.6,0,0,0
2016-03-03,79.6,79.6,79.6,79.6,0,0,0
2016-03-04,79.6,79.6,79.6,79.6,0,0,0
2016-03-07,79.6,79.6,79.6,79.6,0,0,0
2016-03-08,79.6,79.6,79.6,79.6,0,0,0
2016-03-09,79.6,79.6,79.6,79.6,0,0,0
2016-03-10,79.6,79.6,79.6,79.6,0,0,0
2016-03-11,79.6,79.6,79.6,79.6,0,0,0
2016-03-14,79.6,79.6,79.6,79.6,0,0,0
2016-03-15,79.6,79.6,79.6,79.6,0,0,0
2016-03-16,79.6,79.6,79.6,79.6,0,0,0
