Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-14,24.34,24.93,24.34,24.76,17100,0.0,0
2019-01-15,25.14,25.99,25.14,25.78,16700,0.0,0
2019-01-16,25.85,25.87,25.43,25.5,5400,0.0,0
2019-01-17,25.7,25.97,25.36,25.75,9500,0.0,0
2019-01-18,26.28,26.86,26.13,26.37,11800,0.0,0
2019-01-22,25.87,25.87,24.3,24.59,16100,0.0,0
2019-01-23,25.12,25.12,23.77,24.34,14900,0.0,0
2019-01-24,24.24,24.81,24.23,24.81,9500,0.0,0
2019-01-25,25.55,25.86,25.42,25.74,12500,0.0,0
2019-01-28,24.74,25.02,24.69,24.98,7000,0.0,0
2019-01-29,24.29,24.31,23.93,24.07,12200,0.0,0
2019-01-30,24.19,25.09,24.19,25.09,6500,0.0,0
2019-01-31,26.68,28.44,26.68,28.27,14100,0.0,0
2019-02-01,28.29,28.51,27.88,27.9,17300,0.0,0
2019-02-04,27.9,28.62,27.9,28.62,13200,0.0,0
2019-02-05,29.25,29.66,28.93,29.64,10500,0.0,0
2019-02-06,29.02,29.02,27.53,27.71,11200,0.0,0
2019-02-07,26.96,27.1,26.21,26.68,16000,0.0,0
2019-02-08,26.32,27.27,26.24,27.27,11100,0.0,0
2019-02-11,27.88,27.88,26.47,26.53,10300,0.0,0
2019-02-12,27.41,27.67,27.28,27.46,5800,0.0,0
2019-02-13,28.08,28.09,27.41,27.44,11000,0.0,0
2019-02-14,26.94,28.11,26.91,27.84,9800,0.0,0
2019-02-15,28.2,28.2,27.73,28.11,10700,0.0,0
2019-02-19,28.01,28.44,27.98,28.22,17500,0.0,0
2019-02-20,28.37,28.37,27.69,27.83,28900,0.0,0
2019-02-21,27.17,27.29,26.9,27.08,1700,0.0,0
2019-02-22,27.24,27.91,27.24,27.86,8400,0.0,0
2019-02-25,28.48,28.48,27.99,27.99,4300,0.0,0
2019-02-26,27.94,28.33,27.71,28.0,5000,0.0,0
2019-02-27,27.54,27.59,27.46,27.5,3100,0.0,0
2019-02-28,27.29,27.57,27.29,27.48,5600,0.0,0
2019-03-01,28.19,28.19,28.19,28.19,100,0.0,0
2019-03-04,28.81,28.94,27.4,28.25,5900,0.0,0
2019-03-05,28.56,28.92,28.49,28.92,8500,0.0,0
2019-03-06,28.73,28.93,28.73,28.8,8600,0.0,0
2019-03-07,28.26,28.42,27.8,28.08,3800,0.0,0
2019-03-08,26.78,27.97,26.78,27.97,7300,0.0,0
2019-03-11,28.84,29.47,28.84,29.47,6400,0.0,0
2019-03-12,29.83,30.17,29.77,29.84,7800,0.0,0
2019-03-13,30.26,30.29,30.21,30.21,300,0.0,0
2019-03-14,29.93,29.93,29.73,29.73,4500,0.0,0
2019-03-15,29.49,29.8,29.49,29.59,2500,0.0,0
2019-03-18,29.3,29.3,28.86,28.86,3400,0.0,0
2019-03-19,29.1,29.7,29.02,29.03,1800,0.011,0
2019-03-20,29.03,29.85,29.03,29.85,4100,0.0,0
2019-03-21,29.72,30.94,29.72,30.9,4100,0.0,0
2019-03-22,29.54,29.83,29.5,29.51,3900,0.0,0
2019-03-25,29.3,29.67,29.14,29.37,1900,0.0,0
2019-03-26,29.7,30.51,29.37,29.7,4400,0.0,0
2019-03-27,29.71,29.71,29.06,29.07,900,0.0,0
2019-03-28,28.87,29.05,28.71,28.95,1400,0.0,0
2019-03-29,28.95,29.03,28.47,29.03,7900,0.0,0
2019-04-01,30.05,30.41,29.82,30.41,8900,0.0,0
2019-04-02,30.55,30.95,30.52,30.89,4100,0.0,0
2019-04-03,31.45,32.01,31.14,31.19,3000,0.0,0
2019-04-04,31.28,31.68,31.28,31.68,300,0.0,0
2019-04-05,32.16,32.16,31.87,31.9,1300,0.0,0
2019-04-08,31.59,31.74,31.59,31.74,400,0.0,0
2019-04-09,31.99,32.14,31.88,31.88,200,0.0,0
2019-04-10,32.2,32.42,32.19,32.35,3600,0.0,0
2019-04-11,32.49,32.63,32.39,32.46,1800,0.0,0
2019-04-12,33.14,33.29,33.03,33.29,2500,0.0,0
2019-04-15,33.5,33.5,32.8,33.2,9500,0.0,0
2019-04-16,32.99,33.3,32.99,33.26,2300,0.0,0
2019-04-17,33.61,33.61,33.36,33.5,2300,0.0,0
2019-04-18,33.49,33.66,33.49,33.53,700,0.0,0
2019-04-22,33.47,34.02,33.41,34.02,10500,0.0,0
2019-04-23,34.94,35.5,34.91,35.43,14300,0.0,0
2019-04-24,35.07,35.4,34.8,34.94,25400,0.0,0
2019-04-25,36.48,36.66,35.94,36.2,11900,0.0,0
2019-04-26,36.6,37.06,35.83,37.06,16400,0.0,0
2019-04-29,37.69,38.2,37.2,38.05,55600,0.0,0
2019-04-30,35.9,36.13,34.99,35.36,50400,0.0,0
2019-05-01,35.88,35.91,34.89,34.89,11200,0.0,0
2019-05-02,34.74,34.74,33.71,34.3,21600,0.0,0
2019-05-03,34.91,35.27,34.59,35.27,22600,0.0,0
2019-05-06,33.22,35.15,33.22,35.14,8700,0.0,0
2019-05-07,33.94,33.94,32.67,33.43,7000,0.0,0
2019-05-08,33.35,34.53,33.17,33.35,7900,0.0,0
2019-05-09,32.49,33.0,32.18,33.0,2600,0.0,0
2019-05-10,32.52,33.4,31.35,33.12,7900,0.0,0
2019-05-13,31.46,31.46,29.92,30.14,10100,0.0,0
2019-05-14,30.62,31.29,30.58,30.63,9900,0.0,0
2019-05-15,31.15,32.77,31.15,32.66,13000,0.0,0
2019-05-16,32.95,33.91,32.95,33.49,17400,0.0,0
2019-05-17,32.99,33.49,32.76,32.78,12600,0.0,0
2019-05-20,31.61,31.8,31.07,31.18,11100,0.0,0
2019-05-21,31.7,32.22,31.7,32.16,2900,0.0,0
2019-05-22,32.03,32.57,31.95,32.1,18200,0.0,0
2019-05-23,30.73,31.26,30.14,30.65,8000,0.0,0
2019-05-24,31.32,31.32,30.68,30.68,800,0.0,0
2019-05-28,30.86,31.75,30.86,31.17,2200,0.0,0
