Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-17,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-18,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-19,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-20,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-23,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-24,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-25,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-27,7.42,7.42,7.42,7.42,0,0.0,0
2015-11-30,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-01,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-02,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-03,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-04,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-07,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-08,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-09,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-10,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-11,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-14,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-15,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-16,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-17,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-18,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-21,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-22,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-23,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-24,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-28,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-29,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-30,7.42,7.42,7.42,7.42,0,0.0,0
2015-12-31,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-04,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-05,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-06,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-07,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-08,7.42,7.42,7.42,7.42,0,0.0,0
2016-01-11,6.25,6.25,6.25,6.25,1000,0.0,0
2016-01-12,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-13,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-14,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-15,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-19,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-20,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-21,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-22,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-25,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-26,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-27,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-28,6.25,6.25,6.25,6.25,0,0.0,0
2016-01-29,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-01,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-02,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-03,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-04,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-05,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-08,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-09,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-10,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-11,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-12,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-16,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-17,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-18,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-19,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-22,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-23,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-24,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-25,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-26,6.25,6.25,6.25,6.25,0,0.0,0
2016-02-29,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-01,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-02,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-03,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-04,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-07,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-08,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-09,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-10,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-11,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-14,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-15,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-16,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-17,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-18,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-21,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-22,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-23,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-24,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-28,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-29,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-30,6.25,6.25,6.25,6.25,0,0.0,0
2016-03-31,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-01,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-04,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-05,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-06,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-07,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-08,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-11,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-12,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-13,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-14,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-15,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-18,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-19,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-20,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-21,6.25,6.25,6.25,6.25,0,0.0,0
2016-04-22,8.14,8.14,8.14,8.14,0,4.0,0
2016-04-25,8.14,8.14,8.14,8.14,0,0.0,0
2016-04-26,8.14,8.14,8.14,8.14,0,0.0,0
2016-04-27,8.14,8.14,8.14,8.14,0,0.0,0
2016-04-28,8.14,8.14,8.14,8.14,0,0.0,0
2016-04-29,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-02,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-03,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-04,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-05,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-06,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-09,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-10,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-11,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-12,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-13,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-16,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-17,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-18,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-19,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-20,8.14,8.14,8.14,8.14,0,0.0,0
2016-05-23,8.65,8.65,8.65,8.65,100,0.0,0
2016-05-24,8.65,8.65,8.65,8.65,0,0.0,0
2016-05-25,8.65,8.65,8.65,8.65,0,0.0,0
2016-05-26,8.65,8.65,8.65,8.65,0,0.0,0
2016-05-27,8.65,8.65,8.65,8.65,0,0.0,0
2016-05-31,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-01,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-02,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-03,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-06,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-07,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-08,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-09,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-10,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-13,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-14,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-15,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-16,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-17,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-20,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-21,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-22,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-23,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-24,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-27,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-28,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-29,8.65,8.65,8.65,8.65,0,0.0,0
2016-06-30,8.65,8.65,8.65,8.65,0,0.0,0
2016-07-01,8.65,8.65,8.65,8.65,0,0.0,0
2016-07-05,8.08,8.08,8.08,8.08,245,0.0,0
2016-07-06,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-07,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-08,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-11,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-12,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-13,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-14,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-15,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-18,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-19,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-20,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-21,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-22,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-25,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-26,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-27,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-28,8.08,8.08,8.08,8.08,0,0.0,0
2016-07-29,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-01,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-02,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-03,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-04,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-05,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-08,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-09,8.08,8.08,8.08,8.08,0,0.0,0
2016-08-10,8.76,8.76,8.76,8.76,1500,0.0,0
2016-08-11,8.76,8.76,8.76,8.76,0,0.0,0
2016-08-12,8.76,8.76,8.76,8.76,0,0.0,0
