Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,21.09,21.7,21.09,21.64,1192400,0,0
2015-11-17,21.65,21.98,21.37,21.59,2672000,0,0
2015-11-18,21.66,22.12,21.16,22.12,1418800,0,0
2015-11-19,22.08,22.29,21.79,22.17,1220900,0,0
2015-11-20,22.82,23.06,22.65,22.73,1706000,0,0
2015-11-23,22.86,22.88,22.38,22.58,1031400,0,0
2015-11-24,22.41,22.68,22.12,22.58,1423300,0,0
2015-11-25,22.57,23.02,22.48,22.87,999300,0,0
2015-11-27,22.85,22.94,22.61,22.7,328300,0,0
2015-11-30,22.85,23.14,22.61,22.9,1748400,0,0
2015-12-01,22.94,22.95,22.39,22.78,1886200,0,0
2015-12-02,23.05,23.86,22.91,23.44,2881700,0,0
2015-12-03,23.61,23.64,22.86,22.86,2447800,0,0
2015-12-04,22.82,22.93,22.52,22.54,1442900,0,0
2015-12-07,22.43,22.47,22.0,22.23,1382300,0,0
2015-12-08,22.05,22.15,21.79,21.95,1170000,0,0
2015-12-09,21.83,22.58,21.65,21.72,1153500,0,0
2015-12-10,22.3,22.59,22.01,22.43,1818700,0,0
2015-12-11,22.2,22.4,21.57,21.94,1540200,0,0
2015-12-14,21.91,22.02,21.52,21.81,1779300,0,0
2015-12-15,21.97,22.13,21.63,21.8,1809300,0,0
2015-12-16,21.88,22.41,21.79,22.38,1666400,0,0
2015-12-17,22.41,22.42,21.92,21.93,1238000,0,0
2015-12-18,21.94,22.19,21.42,21.54,4128400,0,0
2015-12-21,21.68,21.8,21.27,21.5,1396400,0,0
2015-12-22,21.63,21.97,21.07,21.89,977200,0,0
2015-12-23,21.99,22.43,21.93,22.28,749300,0,0
2015-12-24,22.22,22.38,22.03,22.19,626000,0,0
2015-12-28,22.05,22.17,21.6,21.9,925000,0,0
2015-12-29,22.04,22.4,21.81,22.06,695000,0,0
2015-12-30,22.04,22.1,21.68,21.71,716900,0,0
2015-12-31,21.58,21.96,21.45,21.45,843000,0,0
2016-01-04,21.16,21.6,20.96,21.59,1813700,0,0
2016-01-05,21.59,21.65,20.99,21.23,1222100,0,0
2016-01-06,20.95,21.05,20.57,20.78,1901400,0,0
2016-01-07,20.39,20.48,19.67,19.79,2169200,0,0
2016-01-08,19.88,20.07,19.42,19.43,1420300,0,0
2016-01-11,19.47,19.76,19.29,19.64,1454300,0,0
