Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,64.43,65.35,63.98,65.33,797600,0.0,0
2015-11-17,65.23,65.53,64.58,64.81,1064100,0.0,0
2015-11-18,64.87,66.33,64.79,66.33,1194800,0.0,0
2015-11-19,66.23,66.32,65.91,66.23,716400,0.0,0
2015-11-20,66.48,66.69,65.82,66.22,1069400,0.0,0
2015-11-23,66.27,66.51,65.92,66.03,655600,0.0,0
2015-11-24,65.24,65.71,65.01,65.57,870400,0.0,0
2015-11-25,65.55,66.27,65.33,65.91,858600,0.0,0
2015-11-27,65.95,66.02,65.46,65.86,512500,0.0,0
2015-11-30,66.04,66.26,65.45,66.03,1528700,0.0,0
2015-12-01,66.42,66.81,65.92,66.33,1325700,0.0,0
2015-12-02,66.34,66.41,65.3,65.5,1157300,0.0,0
2015-12-03,65.68,65.84,64.72,65.18,2346900,0.0,0
2015-12-04,65.3,66.13,65.16,65.93,2197400,0.0,0
2015-12-07,65.78,65.96,64.77,65.17,1592100,0.0,0
2015-12-08,64.68,64.76,64.12,64.26,1901600,0.0,0
2015-12-09,63.95,64.58,63.08,63.45,1131300,0.0,0
2015-12-10,63.41,64.28,63.25,63.6,1652600,0.0,0
2015-12-11,62.72,62.85,61.11,61.39,2173200,0.0,0
2015-12-14,61.32,62.02,60.07,61.18,1982200,0.52,0
2015-12-15,61.93,62.59,61.93,62.35,2105500,0.0,0
2015-12-16,63.02,63.25,62.0,63.01,2699200,0.0,0
2015-12-17,63.02,63.32,61.93,62.03,1564600,0.0,0
2015-12-18,61.57,62.0,60.98,61.07,2562400,0.0,0
2015-12-21,61.6,61.8,61.17,61.49,1612000,0.0,0
2015-12-22,61.7,62.0,61.31,61.94,1809900,0.0,0
2015-12-23,62.02,63.77,61.95,63.55,1582500,0.0,0
2015-12-24,63.32,63.73,63.05,63.29,431900,0.0,0
2015-12-28,63.11,63.62,62.87,63.52,1011000,0.0,0
2015-12-29,63.53,64.33,63.53,63.86,1020800,0.0,0
2015-12-30,63.71,64.11,62.93,62.97,1081000,0.0,0
2015-12-31,62.94,63.32,62.45,62.45,1052800,0.0,0
2016-01-04,61.09,61.33,60.42,61.31,2353500,0.0,0
2016-01-05,61.49,61.86,60.71,61.57,1403700,0.0,0
2016-01-06,60.4,60.63,59.94,60.19,1752300,0.0,0
2016-01-07,58.97,60.07,58.24,58.58,2238100,0.0,0
2016-01-08,58.93,59.1,57.03,57.1,2142500,0.0,0
2016-01-11,57.39,57.62,56.2,56.79,2068900,0.0,0
2016-01-12,57.42,58.37,56.92,58.27,2915700,0.0,0
2016-01-13,58.5,59.19,56.53,56.67,2297100,0.0,0
2016-01-14,56.91,57.79,56.21,57.29,2277300,0.0,0
2016-01-15,55.76,57.21,55.53,56.74,2669700,0.0,0
2016-01-19,57.61,58.13,56.84,57.27,2025200,0.0,0
2016-01-20,56.26,57.45,55.69,56.86,2598100,0.0,0
2016-01-21,57.07,58.76,56.88,57.27,2112300,0.0,0
2016-01-22,58.33,58.91,57.9,58.9,1650800,0.0,0
2016-01-25,58.6,58.83,57.03,57.14,1640800,0.0,0
2016-01-26,57.45,59.1,57.17,58.22,1533300,0.0,0
2016-01-27,58.24,59.03,57.22,57.86,2232000,0.0,0
2016-01-28,59.62,61.85,59.41,59.77,2984700,0.0,0
2016-01-29,59.85,62.16,59.79,61.98,2844000,0.0,0
2016-02-01,61.53,61.67,60.62,61.29,2375400,0.0,0
2016-02-02,60.21,60.68,59.22,59.45,2657100,0.0,0
2016-02-03,59.8,60.34,58.0,59.96,2326200,0.0,0
2016-02-04,59.76,60.99,59.75,60.96,3472600,0.0,0
2016-02-05,60.62,61.07,59.72,59.96,2616500,0.0,0
2016-02-08,59.38,59.38,56.13,57.63,4241900,0.0,0
2016-02-09,56.96,58.66,56.61,58.08,2326300,0.0,0
2016-02-10,58.93,59.71,58.13,58.17,1509500,0.0,0
2016-02-11,56.53,57.83,56.48,57.2,2095200,0.0,0
2016-02-12,58.41,59.02,57.64,59.01,1368700,0.0,0
2016-02-16,59.84,60.11,59.17,59.81,1546000,0.0,0
2016-02-17,60.5,61.76,59.86,61.38,1858200,0.0,0
2016-02-18,61.6,61.63,60.28,60.65,1569200,0.0,0
2016-02-19,60.4,60.62,59.69,60.15,1463000,0.0,0
2016-02-22,60.9,61.36,60.4,61.05,1270700,0.0,0
2016-02-23,61.17,61.38,59.64,59.93,1260600,0.0,0
2016-02-24,58.83,60.34,57.89,60.24,1483900,0.0,0
2016-02-25,60.44,60.84,59.54,60.83,1028400,0.0,0
2016-02-26,61.59,61.71,60.54,60.9,1040200,0.0,0
2016-02-29,60.94,61.35,60.35,60.37,1384700,0.0,0
2016-03-01,61.09,62.37,60.83,62.37,1740200,0.0,0
2016-03-02,62.16,62.62,61.54,62.61,1307400,0.0,0
2016-03-03,62.69,63.2,62.25,63.19,1123600,0.0,0
2016-03-04,63.19,64.01,62.87,63.58,1367900,0.0,0
