Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,17.2014,17.3027,16.8975,17.2843,124600,0.0,0
2015-11-17,17.3303,17.3948,16.7502,16.7778,112100,0.0,0
2015-11-18,16.8609,17.4334,16.8148,17.415,195000,0.05,0
2015-11-19,17.415,17.4611,16.6486,17.1656,198800,0.0,0
2015-11-20,17.2487,17.5073,16.6947,16.9348,147200,0.0,0
2015-11-23,16.9625,17.4888,16.9533,17.2764,76100,0.0,0
2015-11-24,17.1656,17.7197,17.0825,17.5627,59100,0.0,0
2015-11-25,17.5627,17.692,17.2303,17.4334,55300,0.0,0
2015-11-27,17.4427,17.5904,17.1195,17.3042,59400,0.0,0
2015-11-30,17.3596,17.7566,17.2949,17.4888,101500,0.0,0
2015-12-01,17.4704,17.7012,17.258,17.4981,55600,0.0,0
2015-12-02,17.4611,17.8674,17.221,17.258,88200,0.0,0
2015-12-03,17.3042,17.8489,17.0825,17.1656,99600,0.0,0
2015-12-04,17.1472,17.5627,16.8055,17.4242,60600,0.0,0
2015-12-07,17.378,17.5442,16.9071,17.0179,121200,0.0,0
2015-12-08,16.8517,17.3411,16.7871,16.8886,75100,0.0,0
2015-12-09,16.8702,17.1195,16.704,16.8332,49900,0.0,0
2015-12-10,16.7963,17.0825,16.667,16.9902,81500,0.0,0
2015-12-11,16.704,16.9348,16.113,16.2515,184000,0.0,0
2015-12-14,16.27,16.6301,16.1684,16.4362,133300,0.0,0
2015-12-15,16.5655,17.0364,16.5008,16.981,97300,0.0,0
2015-12-16,17.0548,17.3226,16.8979,17.2026,95500,0.0,0
2015-12-17,17.2303,17.8212,17.2303,17.5904,169800,0.0,0
2015-12-18,17.4611,17.4611,16.3438,16.4269,396500,0.0,0
2015-12-21,16.51,16.9533,15.9376,16.1499,94200,0.0,0
2015-12-22,16.2053,16.4731,15.9653,16.3069,42500,0.0,0
2015-12-23,16.4639,16.6486,16.4085,16.6116,50400,0.0,0
2015-12-24,16.5747,16.8979,16.5747,16.7686,40100,0.0,0
