Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,11.33,11.69,11.08,11.66,1084200,0.0,0
2015-11-17,11.63,11.77,11.33,11.65,1340500,0.0,0
2015-11-18,11.69,11.78,11.58,11.67,1058400,0.0,0
2015-11-19,11.61,11.66,11.02,11.22,1379100,0.0,0
2015-11-20,11.23,11.41,10.97,11.04,1018400,0.0,0
2015-11-23,11.08,11.35,11.05,11.21,1117900,0.0,0
2015-11-24,11.16,11.3,11.01,11.13,1104900,0.0,0
2015-11-25,11.15,11.41,11.13,11.35,665800,0.0,0
2015-11-27,11.33,11.62,11.24,11.57,556800,0.0,0
2015-11-30,11.58,11.72,11.4,11.72,6448000,0.0,0
2015-12-01,11.75,11.97,11.49,11.82,970100,0.0,0
2015-12-02,11.78,11.93,11.59,11.72,1172700,0.0,0
2015-12-03,11.74,11.77,11.21,11.27,1244900,0.0,0
2015-12-04,11.25,11.57,11.25,11.49,1100700,0.0,0
2015-12-07,10.9,11.45,10.9,11.3,860000,0.0,0
2015-12-08,11.28,11.34,10.95,11.17,845700,0.0,0
2015-12-09,11.15,11.54,11.12,11.2,892900,0.0,0
2015-12-10,11.3,11.6,11.14,11.48,879400,0.0,0
2015-12-11,11.39,11.49,10.9,10.98,1346800,0.0,0
2015-12-14,10.99,11.34,10.78,10.98,1133200,0.0,0
2015-12-15,11.04,11.22,10.8,10.92,1413500,0.0,0
2015-12-16,10.99,11.24,10.86,11.14,1021000,0.0,0
2015-12-17,11.15,11.2,10.72,10.86,1026000,0.0,0
2015-12-18,10.84,11.22,10.84,11.04,3740600,0.0,0
2015-12-21,11.1,11.17,10.94,11.15,779800,0.0,0
2015-12-22,11.14,11.29,11.0,11.26,809800,0.0,0
2015-12-23,11.33,11.99,11.19,11.95,1005400,0.0,0
2015-12-24,11.99,11.99,11.66,11.78,491700,0.0,0
2015-12-28,11.71,12.01,11.5,12.0,1016500,0.0,0
2015-12-29,11.93,12.04,11.63,11.87,982400,0.6,0
2015-12-30,11.82,11.87,11.52,11.58,1137600,0.0,0
2015-12-31,11.49,11.75,11.49,11.61,812700,0.0,0
2016-01-04,11.54,12.34,11.37,12.34,1969400,0.0,0
2016-01-05,12.39,12.51,12.07,12.37,1090200,0.0,0
2016-01-06,12.27,12.35,12.13,12.29,1010800,0.0,0
2016-01-07,12.16,13.34,12.16,12.88,2083500,0.0,0
2016-01-08,12.91,12.96,11.81,11.83,2845000,0.0,0
2016-01-11,11.94,12.22,11.84,11.91,1290300,0.0,0
2016-01-12,12.05,12.05,11.51,11.76,948600,0.0,0
2016-01-13,11.82,12.03,11.25,11.39,1058200,0.0,0
2016-01-14,11.45,11.67,11.12,11.65,1301100,0.0,0
2016-01-15,11.55,11.7,11.18,11.51,1170100,0.0,0
2016-01-19,11.62,11.8,10.97,11.02,1078200,0.0,0
2016-01-20,10.91,11.19,10.4,10.85,1664700,0.0,0
2016-01-21,10.87,11.05,10.6,10.86,1319400,0.0,0
