Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,9.48,9.53,9.08,9.31,602100,0,0
2015-11-17,9.48,9.64,9.22,9.32,435800,0,0
2015-11-18,9.33,9.68,9.31,9.67,433000,0,0
2015-11-19,9.7,9.73,9.39,9.44,305000,0,0
2015-11-20,9.51,9.67,9.43,9.62,298300,0,0
2015-11-23,9.59,9.79,9.55,9.69,436400,0,0
2015-11-24,9.61,9.89,9.45,9.84,495300,0,0
2015-11-25,9.85,9.97,9.74,9.82,393800,0,0
2015-11-27,9.85,9.94,9.76,9.92,167600,0,0
2015-11-30,9.94,10.0,9.77,9.86,369500,0,0
2015-12-01,9.91,9.91,9.53,9.67,431000,0,0
2015-12-02,9.61,9.9,9.59,9.73,539100,0,0
2015-12-03,9.72,9.8,8.93,8.98,793700,0,0
2015-12-04,9.03,9.1,8.8,8.96,656800,0,0
2015-12-07,8.98,8.98,8.25,8.39,1372900,0,0
2015-12-08,8.29,8.42,8.13,8.19,849900,0,0
2015-12-09,8.17,9.01,8.0,8.83,1809800,0,0
2015-12-10,8.8,8.89,8.5,8.62,631700,0,0
2015-12-11,8.51,8.71,8.46,8.61,791400,0,0
2015-12-14,8.73,8.99,8.36,8.58,838400,0,0
2015-12-15,8.59,8.84,8.41,8.74,820300,0,0
2015-12-16,8.81,9.45,8.81,9.41,1039000,0,0
2015-12-17,9.52,9.66,9.34,9.38,605100,0,0
2015-12-18,9.4,9.6,9.01,9.36,3083400,0,0
2015-12-21,9.46,9.65,9.25,9.64,577600,0,0
2015-12-22,9.64,9.64,9.24,9.47,417600,0,0
2015-12-23,9.56,9.64,9.4,9.59,252800,0,0
2015-12-24,9.56,9.71,9.51,9.6,178600,0,0
2015-12-28,9.6,9.68,9.21,9.3,421800,0,0
2015-12-29,9.35,9.98,9.34,9.72,613500,0,0
2015-12-30,9.76,9.78,9.47,9.67,399800,0,0
2015-12-31,9.6,9.71,9.29,9.31,549900,0,0
2016-01-04,9.09,9.25,8.87,8.99,772100,0,0
2016-01-05,9.06,9.25,8.78,9.05,694600,0,0
2016-01-06,8.91,8.91,8.55,8.7,595300,0,0
2016-01-07,8.4,8.65,8.19,8.38,955200,0,0
2016-01-08,8.38,8.51,8.07,8.21,659400,0,0
2016-01-11,8.51,9.07,8.24,8.57,1368500,0,0
2016-01-12,8.65,9.25,8.62,9.1,1034300,0,0
2016-01-13,9.16,9.33,8.66,8.7,721200,0,0
2016-01-14,8.8,9.18,8.46,9.05,642400,0,0
2016-01-15,8.6,8.85,8.31,8.83,700800,0,0
2016-01-19,8.92,8.98,8.37,8.59,697300,0,0
2016-01-20,8.35,8.91,8.3,8.79,670200,0,0
2016-01-21,8.81,9.03,8.5,8.6,406200,0,0
2016-01-22,8.85,9.2,8.62,9.14,571600,0,0
2016-01-25,9.07,9.58,9.01,9.08,658700,0,0
2016-01-26,9.08,9.24,8.67,9.12,435200,0,0
2016-01-27,9.03,9.14,8.65,8.74,762600,0,0
2016-01-28,8.83,8.91,8.26,8.45,514800,0,0
2016-01-29,8.49,8.71,8.29,8.53,768400,0,0
2016-02-01,8.49,8.79,8.35,8.75,587200,0,0
2016-02-02,8.58,9.11,8.39,8.91,794700,0,0
2016-02-03,8.96,8.96,8.33,8.83,618700,0,0
2016-02-04,8.8,9.03,8.73,8.81,631500,0,0
2016-02-05,8.77,8.78,8.51,8.64,553200,0,0
2016-02-08,8.56,8.59,7.82,8.02,727700,0,0
2016-02-09,7.85,8.2,7.73,7.99,440000,0,0
2016-02-10,8.09,8.33,7.69,7.84,586400,0,0
2016-02-11,7.06,8.02,6.91,7.94,800500,0,0
2016-02-12,7.99,8.1,7.51,7.94,412500,0,0
2016-02-16,8.02,8.52,8.0,8.19,884800,0,0
2016-02-17,8.23,8.35,8.03,8.22,622800,0,0
2016-02-18,8.22,8.26,7.6,7.76,557300,0,0
2016-02-19,7.76,7.91,7.63,7.86,541800,0,0
2016-02-22,7.96,8.23,7.94,8.03,432700,0,0
2016-02-23,7.95,8.03,7.66,7.69,420300,0,0
2016-02-24,7.62,7.71,7.14,7.67,662700,0,0
2016-02-25,7.69,7.93,7.61,7.74,411100,0,0
2016-02-26,7.77,8.05,7.52,8.0,359300,0,0
2016-02-29,8.03,8.13,7.83,7.85,351600,0,0
2016-03-01,7.9,8.13,7.8,8.13,335300,0,0
2016-03-02,8.12,8.48,7.88,8.36,505900,0,0
2016-03-03,8.33,8.38,8.1,8.13,436800,0,0
2016-03-04,8.12,8.28,7.86,7.92,543700,0,0
2016-03-07,7.9,8.47,7.78,8.22,571900,0,0
2016-03-08,8.18,8.18,7.59,7.64,630800,0,0
2016-03-09,7.68,7.91,7.35,7.78,564300,0,0
2016-03-10,7.77,7.97,7.2,7.59,372300,0,0
2016-03-11,7.68,7.72,7.52,7.7,390800,0,0
2016-03-14,7.7,7.99,7.58,7.8,571500,0,0
2016-03-15,7.71,7.75,7.4,7.49,456100,0,0
2016-03-16,7.45,7.59,7.13,7.23,534800,0,0
2016-03-17,7.25,7.47,6.95,7.36,542500,0,0
2016-03-18,7.42,7.8,7.3,7.73,1390300,0,0
2016-03-21,7.73,8.03,7.52,7.82,436600,0,0
2016-03-22,7.74,7.99,7.74,7.79,412000,0,0
2016-03-23,7.83,7.92,7.32,7.33,443100,0,0
2016-03-24,7.33,7.89,7.2,7.67,296700,0,0
2016-03-28,7.7,7.75,7.36,7.47,257300,0,0
2016-03-29,7.46,7.81,7.23,7.78,342100,0,0
2016-03-30,7.83,8.33,7.73,8.05,439400,0,0
2016-03-31,8.02,8.4,8.01,8.36,891300,0,0
2016-04-01,8.28,8.44,8.14,8.39,442300,0,0
2016-04-04,8.46,8.57,8.29,8.39,811300,0,0
2016-04-05,8.32,8.5,8.02,8.25,316900,0,0
2016-04-06,8.24,8.6,8.23,8.59,462800,0,0
2016-04-07,8.5,8.88,8.45,8.63,480800,0,0
2016-04-08,8.75,8.86,8.36,8.59,460600,0,0
2016-04-11,8.63,8.7,8.44,8.45,386300,0,0
2016-04-12,8.43,8.54,8.17,8.5,402300,0,0
2016-04-13,8.55,8.9,8.41,8.82,326700,0,0
2016-04-14,8.84,9.01,8.77,8.79,369500,0,0
2016-04-15,8.75,9.04,8.64,8.97,296000,0,0
2016-04-18,8.97,9.07,8.81,8.98,208200,0,0
2016-04-19,9.0,9.16,8.85,8.96,336400,0,0
2016-04-20,9.17,9.24,8.96,9.07,330600,0,0
2016-04-21,9.07,9.45,9.04,9.45,487600,0,0
2016-04-22,9.43,9.48,9.2,9.44,496400,0,0
2016-04-25,9.45,9.79,9.39,9.5,603300,0,0
2016-04-26,9.48,9.54,9.23,9.27,565700,0,0
2016-04-27,9.24,9.32,8.97,9.08,362800,0,0
2016-04-28,9.09,9.47,9.01,9.16,642700,0,0
2016-04-29,9.16,9.35,8.89,8.9,521800,0,0
