Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,122.28,125.5,121.52,125.28,1615100,0,0
2015-11-17,125.08,128.36,124.27,128.26,1501700,0,0
2015-11-18,128.01,133.42,127.84,133.26,1760800,0,0
2015-11-19,133.01,134.0,129.77,130.08,1248300,0,0
2015-11-20,132.54,133.64,130.11,130.55,1672900,0,0
2015-11-23,130.78,134.71,130.12,132.29,969400,0,0
2015-11-24,130.73,133.2,130.08,133.13,1030900,0,0
2015-11-25,133.16,134.0,131.56,131.97,689900,0,0
2015-11-27,132.63,134.23,132.63,133.06,340900,0,0
2015-11-30,132.88,133.41,129.2,129.36,1344700,0,0
2015-12-01,131.0,132.81,128.04,130.36,1185100,0,0
2015-12-02,130.63,132.56,129.6,130.41,930500,0,0
2015-12-03,130.26,130.26,120.46,122.06,1770000,0,0
2015-12-04,122.82,125.87,122.58,125.17,1658100,0,0
2015-12-07,125.35,125.79,121.36,121.79,1510300,0,0
2015-12-08,121.02,123.78,120.01,123.29,1374900,0,0
2015-12-09,122.55,123.13,119.4,120.63,1555100,0,0
2015-12-10,119.55,123.12,119.51,121.87,1309300,0,0
2015-12-11,120.2,122.03,117.23,117.64,2205700,0,0
2015-12-14,117.61,118.4,113.73,115.7,2272900,0,0
2015-12-15,117.04,118.39,115.84,117.28,3948200,0,0
2015-12-16,118.27,119.38,113.77,118.53,2808200,0,0
2015-12-17,118.31,119.57,116.44,117.94,1219500,0,0
2015-12-18,117.17,119.31,116.48,116.51,2367500,0,0
2015-12-21,117.43,120.85,116.4,120.56,1237400,0,0
2015-12-22,121.09,122.97,120.08,122.74,1525900,0,0
2015-12-23,123.92,124.22,121.95,123.8,1162300,0,0
2015-12-24,124.38,125.4,124.2,124.84,367500,0,0
2015-12-28,123.99,124.74,122.72,123.95,677700,0,0
2015-12-29,124.97,129.18,124.32,127.87,1168600,0,0
2015-12-30,127.68,127.95,125.93,126.4,658700,0,0
2015-12-31,125.55,127.6,124.91,125.83,797300,0,0
2016-01-04,123.03,123.87,121.04,122.89,2217600,0,0
2016-01-05,123.89,124.96,121.9,123.45,1299900,0,0
2016-01-06,120.8,123.17,119.51,122.23,1692400,0,0
2016-01-07,119.01,119.82,113.85,114.96,2362600,0,0
2016-01-08,115.62,117.11,110.55,110.71,1823000,0,0
2016-01-11,109.88,109.94,101.49,103.95,3230700,0,0
2016-01-12,104.95,108.71,98.87,103.64,3253500,0,0
2016-01-13,104.3,105.5,95.68,96.37,5709200,0,0
2016-01-14,97.44,103.95,94.68,101.91,3688600,0,0
2016-01-15,98.15,100.13,95.09,97.91,3222200,0,0
2016-01-19,100.54,101.46,92.57,94.99,2779800,0,0
2016-01-20,93.33,98.58,89.97,96.99,4088800,0,0
2016-01-21,97.06,98.84,94.84,95.07,2881100,0,0
2016-01-22,97.0,97.81,93.65,94.71,2572900,0,0
2016-01-25,94.24,95.17,92.01,92.12,2665400,0,0
2016-01-26,92.7,93.43,90.47,92.2,2561800,0,0
2016-01-27,92.35,96.09,89.92,92.5,3626000,0,0
2016-01-28,91.0,94.09,81.98,92.76,8088500,0,0
2016-01-29,92.72,94.49,90.0,90.75,3485600,0,0
2016-02-01,91.92,93.99,89.75,92.39,2913200,0,0
2016-02-02,90.59,92.68,89.43,90.98,3142900,0,0
2016-02-03,91.54,93.98,86.12,93.88,3256700,0,0
2016-02-04,93.49,96.35,90.71,91.72,2453000,0,0
2016-02-05,89.78,92.23,84.54,86.61,4571300,0,0
2016-02-08,85.23,85.85,79.81,82.0,4215100,0,0
2016-02-09,80.25,83.53,79.44,80.14,4159500,0,0
2016-02-10,82.26,84.06,80.25,81.73,4115300,0,0
2016-02-11,79.21,81.17,78.51,79.71,3894600,0,0
2016-02-12,81.94,83.81,79.5,83.23,2771700,0,0
2016-02-16,85.42,85.85,83.01,85.37,2191100,0,0
2016-02-17,86.07,88.46,83.5,88.25,2276300,0,0
2016-02-18,87.87,88.47,85.76,86.64,2133900,0,0
2016-02-19,85.99,88.51,84.04,88.08,2029700,0,0
2016-02-22,89.41,91.6,87.85,89.0,1599900,0,0
2016-02-23,88.06,89.3,84.76,85.28,1757700,0,0
2016-02-24,84.12,87.09,82.44,86.77,1809400,0,0
2016-02-25,87.33,88.94,84.34,85.53,1387800,0,0
2016-02-26,86.44,87.93,85.39,87.0,1408200,0,0
2016-02-29,86.83,88.97,84.6,85.49,1757500,0,0
2016-03-01,86.13,89.61,84.26,89.57,1991100,0,0
2016-03-02,88.94,93.42,88.75,92.52,2779100,0,0
2016-03-03,92.25,93.0,89.1,89.45,1575700,0,0
2016-03-04,89.91,90.19,87.92,88.36,1703400,0,0
2016-03-07,87.36,91.0,85.94,90.95,1642900,0,0
2016-03-08,90.63,90.89,85.05,86.91,2776500,0,0
2016-03-09,87.45,87.45,84.35,84.63,2201800,0,0
2016-03-10,85.16,85.43,81.16,82.28,2456600,0,0
2016-03-11,83.82,86.34,83.03,86.26,1715900,0,0
2016-03-14,86.11,86.96,83.98,85.59,2014300,0,0
2016-03-15,84.55,85.41,82.25,82.83,1762600,0,0
2016-03-16,82.06,83.34,77.51,79.3,2957300,0,0
2016-03-17,79.33,80.09,75.9,79.18,2658000,0,0
2016-03-18,79.74,83.14,78.47,82.52,3768300,0,0
2016-03-21,82.01,84.75,81.52,84.02,1784000,0,0
2016-03-22,83.65,86.91,83.31,86.78,1785200,0,0
2016-03-23,86.0,86.0,80.0,80.15,2198100,0,0
2016-03-24,79.71,82.19,78.25,80.58,1888300,0,0
2016-03-28,80.85,81.26,77.67,78.7,1508400,0,0
2016-03-29,78.49,79.37,76.79,79.24,1742100,0,0
2016-03-30,80.11,81.99,77.69,78.4,1729500,0,0
2016-03-31,78.72,82.1,77.81,79.49,3259400,0,0
2016-04-01,79.02,79.25,75.92,79.15,3638700,0,0
2016-04-04,79.81,84.4,79.19,82.87,2744000,0,0
2016-04-05,82.54,86.48,81.52,84.16,2849000,0,0
2016-04-06,83.82,91.76,83.7,91.31,3460300,0,0
2016-04-07,90.31,91.78,85.93,86.3,2797600,0,0
2016-04-08,87.29,88.0,84.18,85.25,1539700,0,0
2016-04-11,85.96,86.79,84.06,84.47,1413000,0,0
2016-04-12,84.79,85.19,82.54,83.37,1832700,0,0
2016-04-13,84.04,85.64,83.2,85.18,2128100,0,0
2016-04-14,85.13,88.08,84.73,87.08,1319200,0,0
