Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,17.4346,17.9608,17.2504,17.9608,1644700,0.0,0
2015-11-17,17.9345,18.4607,17.7328,17.8029,1693100,0.0,0
2015-11-18,18.0222,18.373,17.6977,18.3291,1970800,0.0,0
2015-11-19,18.2853,18.4957,18.1274,18.4607,1405300,0.0,0
2015-11-20,18.6273,18.7501,18.4607,18.5922,1526500,0.0,0
2015-11-23,18.6361,19.0219,18.3993,18.7764,3008000,0.0,0
2015-11-24,18.487,19.0307,18.373,18.6887,1816500,0.0,0
2015-11-25,18.8728,19.1886,18.6711,19.1623,1687000,0.0,0
2015-11-27,19.1009,19.2061,18.408,18.9956,950100,0.0,0
2015-11-30,18.9869,19.171,18.8027,19.0746,2059400,0.0,0
2015-12-01,19.3201,19.5832,18.8641,19.2412,3094200,0.0,0
2015-12-02,19.2938,19.4166,18.7939,18.829,3060300,0.0,0
2015-12-03,18.18,18.1976,16.5313,16.7505,5629300,0.0,0
2015-12-04,16.6628,17.3293,16.426,17.1715,3273900,0.0,0
2015-12-07,17.1715,17.1803,16.5839,16.7593,2197800,0.0,0
2015-12-08,16.4962,16.7593,16.1279,16.7155,2599600,0.0,0
2015-12-09,16.6365,16.7593,15.9788,16.0314,2329100,0.0,0
2015-12-10,16.0753,16.4699,15.8648,16.2156,1722400,0.0,0
2015-12-11,15.6806,15.742,15.2158,15.4526,2439100,0.0,0
2015-12-14,15.5403,15.7069,14.8036,15.2246,1812400,0.0,0
2015-12-15,15.286,15.5227,14.7948,14.9439,5545000,0.0,0
2015-12-16,15.4175,15.6894,14.5142,15.1895,4796900,0.0,0
2015-12-17,15.3473,15.4087,14.2336,14.2336,3758900,0.0,0
2015-12-18,14.1459,14.2073,13.418,13.8214,6705100,0.0,0
2015-12-21,13.6548,14.1634,13.1812,14.1634,2742000,0.0,0
2015-12-22,14.2511,14.3564,13.5671,13.9003,1879700,0.0,0
2015-12-23,14.0319,14.6107,13.7512,14.5581,2397200,0.0,0
2015-12-24,14.5668,14.6107,14.1108,14.1809,685300,0.0,0
2015-12-28,14.0845,14.2248,13.874,14.2073,1175700,0.0,0
2015-12-29,14.3563,14.4967,13.9705,14.2862,1688000,0.0,0
2015-12-30,14.2248,14.4265,14.0056,14.0933,1188800,0.0,0
2015-12-31,14.0319,14.1371,13.7512,13.7512,1709700,0.0,0
2016-01-04,13.3741,13.4618,12.8392,13.4267,3455300,0.0,0
2016-01-05,13.4969,13.7074,13.0233,13.339,4276100,0.0,0
2016-01-06,13.1022,13.1724,12.5673,12.6725,4460800,0.0,0
2016-01-07,12.2428,12.3656,11.9885,12.1639,5782300,0.0,0
2016-01-08,12.4182,12.541,11.6289,11.664,3321000,0.0,0
2016-01-11,11.2956,11.6114,10.4976,10.7431,7288300,0.0,0
2016-01-12,10.9712,11.0326,10.2696,10.7344,4637600,0.0,0
2016-01-13,10.8221,10.8835,9.7434,10.1205,5636200,0.0,0
2016-01-14,10.1029,10.5677,9.7083,10.4713,4992400,0.0,0
2016-01-15,9.8925,10.0766,9.489,9.9889,6711100,0.0,0
2016-01-19,10.3397,10.3397,9.6469,9.8223,3585900,0.0,0
2016-01-20,9.5417,9.8223,9.0505,9.6294,6295400,0.0,0
2016-01-21,9.682,10.6379,9.5329,10.0591,4868100,0.0,0
2016-01-22,10.4362,11.3307,10.4362,11.0238,5374800,0.0,0
2016-01-25,10.8659,10.9536,10.1117,10.3134,4644000,0.0,0
2016-01-26,10.3397,10.4976,9.9802,10.1556,3048400,0.0,0
2016-01-27,10.1292,10.3923,9.796,9.9275,2103600,0.0,0
2016-01-28,10.1205,10.2696,9.7609,9.9188,1969300,0.0,0
2016-01-29,10.1731,10.7607,10.1643,10.5239,3831500,0.0,0
2016-02-01,10.3573,10.6993,10.2257,10.5677,3084700,0.0,0
2016-02-02,10.2696,10.2959,9.7785,9.9012,2974300,0.0,0
2016-02-03,10.1292,10.252,9.1382,9.796,3975800,0.0,0
2016-02-04,9.7697,10.2783,9.6557,10.2433,4614700,0.0,0
2016-02-05,9.682,10.2257,9.4627,9.5154,4834100,0.0,0
2016-02-08,9.1996,9.2435,8.5507,8.9278,7260600,0.0,0
2016-02-09,8.7787,9.3049,8.7173,9.147,4949200,0.0,0
2016-02-10,8.9015,9.7872,8.9015,9.0856,4084600,0.0,0
2016-02-11,8.7611,9.0681,8.6121,8.8927,3239500,0.0,0
2016-02-12,9.1402,9.3347,8.9015,9.2286,2186600,0.08,0
2016-02-16,9.4584,9.9181,9.3258,9.8651,2561600,0.0,0
2016-02-17,9.759,10.7579,9.759,10.4927,3705600,0.0,0
2016-02-18,10.6164,10.7313,10.2628,10.528,2876500,0.0,0
2016-02-19,10.254,10.3866,9.7943,9.9976,3164800,0.0,0
2016-02-22,10.1921,10.3512,10.1214,10.3424,2334800,0.0,0
2016-02-23,10.2363,10.8109,10.0684,10.2275,3349800,0.0,0
2016-02-24,9.98,10.5369,9.5291,10.1833,2662100,0.0,0
2016-02-25,10.201,10.5369,9.8916,10.2628,1234000,0.0,0
2016-02-26,10.3866,10.6695,10.2982,10.528,2261900,0.0,0
2016-02-29,10.5015,10.6783,10.4043,10.475,2152400,0.0,0
2016-03-01,10.5015,10.97,10.475,10.9347,2698600,0.0,0
2016-03-02,10.9347,11.1822,10.6606,11.1556,2927100,0.0,0
2016-03-03,11.1556,11.6949,10.9347,11.686,3506900,0.0,0
2016-03-04,11.7921,12.128,11.6153,11.8363,4680000,0.0,0
2016-03-07,11.7744,11.9247,11.3148,11.8893,3103300,0.0,0
2016-03-08,11.7302,11.9866,11.3324,11.3766,2528700,0.0,0
2016-03-09,11.4474,11.5976,11.0672,11.3766,2198200,0.0,0
2016-03-10,11.5534,11.6153,10.6341,10.8639,2947600,0.0,0
2016-03-11,11.138,11.4032,10.917,11.3501,1787700,0.0,0
2016-03-14,11.3324,11.4739,10.97,11.4032,1975100,0.0,0
2016-03-15,11.2529,11.2529,10.4485,10.5899,3369600,0.0,0
2016-03-16,10.5722,10.9258,10.3954,10.8639,2753100,0.0,0
2016-03-17,10.7932,10.8816,10.4838,10.7579,2811000,0.0,0
2016-03-18,10.8109,11.1822,10.7402,10.97,2771300,0.0,0
2016-03-21,10.9612,11.1203,10.8816,11.0761,1486600,0.0,0
2016-03-22,10.9258,11.0407,10.5369,10.6695,2309800,0.0,0
2016-03-23,10.5634,10.6341,10.1479,10.1833,2287600,0.0,0
2016-03-24,10.0507,10.2275,9.8297,10.1921,2067700,0.0,0
2016-03-28,10.2098,10.2628,9.7767,10.0065,1683300,0.0,0
2016-03-29,9.9535,10.5987,9.6175,10.4927,2524100,0.0,0
2016-03-30,10.4485,10.6076,9.9623,10.1656,3635200,0.0,0
2016-03-31,10.1656,10.254,9.98,10.1037,1948200,0.0,0
2016-04-01,10.033,10.1921,9.759,9.8739,3615700,0.0,0
2016-04-04,9.7943,9.8916,9.6529,9.6883,3491300,0.0,0
2016-04-05,9.5026,9.5115,8.9192,9.1932,4675400,0.0,0
2016-04-06,9.1667,9.5733,9.1667,9.5645,3680700,0.0,0
2016-04-07,9.3435,9.4408,8.9457,9.0518,2620300,0.0,0
2016-04-08,9.1844,9.3524,8.9015,9.0518,2219100,0.0,0
2016-04-11,9.1756,9.4142,9.0783,9.1402,1484200,0.0,0
2016-04-12,9.1137,9.6087,9.043,9.5645,2657200,0.0,0
2016-04-13,9.6883,10.6871,9.6352,10.6429,5280100,0.0,0
2016-04-14,10.6164,11.0407,10.5722,10.9523,3571600,0.0,0
2016-04-15,10.8816,10.917,10.3954,10.4485,2350700,0.0,0
2016-04-18,10.2894,10.5192,10.1656,10.422,1609300,0.0,0
2016-04-19,10.5192,10.6253,10.3601,10.528,2087400,0.0,0
2016-04-20,10.6164,10.9523,10.5015,10.8728,2200300,0.0,0
2016-04-21,10.917,11.0319,10.7932,10.8551,1750200,0.0,0
2016-04-22,10.8109,11.3855,10.8109,11.3059,2295100,0.0,0
2016-04-25,11.1645,11.2175,10.8816,11.1114,2205000,0.0,0
2016-04-26,11.1468,11.3766,11.0142,11.359,1801100,0.0,0
2016-04-27,11.3059,11.6065,11.0849,11.4827,2563900,0.0,0
2016-04-28,11.1114,11.1733,10.4485,10.4573,4240800,0.0,0
2016-04-29,10.8551,10.8551,9.5203,9.6264,4749400,0.0,0
2016-05-02,9.6794,9.7943,9.043,9.6529,4419800,0.0,0
2016-05-03,9.5115,9.5999,9.1314,9.3612,2851700,0.0,0
2016-05-04,9.1048,9.3258,8.9369,9.0606,4285700,0.0,0
2016-05-05,9.1402,9.3612,8.9457,9.3082,2260900,0.0,0
2016-05-06,9.1932,9.3435,9.0253,9.2728,2139200,0.0,0
2016-05-09,9.5489,9.6291,9.2639,9.3797,2359900,0.08,0
2016-05-10,9.5757,9.8963,9.5133,9.8251,2610200,0.0,0
2016-05-11,9.7716,9.834,9.5133,9.5222,2400700,0.0,0
2016-05-12,9.5489,9.7983,9.1125,9.3084,2171000,0.0,0
2016-05-13,9.3084,9.5222,9.1392,9.255,2251000,0.0,0
2016-05-16,9.3084,9.6202,9.2461,9.4242,2644200,0.0,0
2016-05-17,9.4242,9.7182,9.3262,9.3797,2146800,0.0,0
2016-05-18,9.3262,9.8607,9.3262,9.8429,2275100,0.0,0
2016-05-19,9.6647,9.9587,9.3619,9.5222,2086400,0.0,0
2016-05-20,9.5935,9.8251,9.5311,9.6825,2372500,0.0,0
2016-05-23,9.6915,9.9052,9.6736,9.7983,2139100,0.0,0
2016-05-24,9.7983,10.1457,9.7271,10.1368,3074300,0.0,0
2016-05-25,10.2704,10.6,10.1101,10.5911,3881800,0.0,0
2016-05-26,10.6624,10.6802,10.4486,10.6089,1866900,0.0,0
2016-05-27,10.6178,11.0098,10.5644,11.0009,2081200,0.0,0
2016-05-31,11.1078,11.3304,10.9385,11.0454,2589200,0.0,0
2016-06-01,10.6089,10.6891,10.2437,10.5377,2930400,0.0,0
2016-06-02,10.4575,10.6,10.3684,10.5911,1536100,0.0,0
2016-06-03,10.3061,10.4219,9.7716,10.0032,2569500,0.0,0
2016-06-06,10.0121,10.3595,9.9854,10.2081,1920500,0.0,0
2016-06-07,10.2348,10.3328,9.932,10.1457,1922700,0.0,0
2016-06-08,10.1814,10.3328,10.0745,10.1279,1525200,0.0,0
2016-06-09,9.9765,10.1279,9.5757,9.7093,1968600,0.0,0
2016-06-10,9.4777,9.6469,9.2194,9.2817,2328300,0.0,0
2016-06-13,9.1748,9.3975,9.0412,9.2639,3187900,0.0,0
2016-06-14,9.1659,9.3619,8.9165,9.0234,3463300,0.0,0
2016-06-15,9.0857,9.3975,9.0234,9.1748,2481700,0.0,0
2016-06-16,9.0857,9.4153,8.8363,9.3797,2584800,0.0,0
2016-06-17,9.4153,9.8607,9.3708,9.5489,4072400,0.0,0
2016-06-20,9.6024,9.932,9.3173,9.3886,2920200,0.0,0
2016-06-21,9.4153,9.4955,9.1837,9.2639,1963100,0.0,0
2016-06-22,9.3173,9.3886,9.1748,9.2194,1886600,0.0,0
2016-06-23,9.3886,9.6915,9.353,9.6736,2036400,0.0,0
2016-06-24,8.9076,9.0412,8.8363,8.8541,7518200,0.0,0
2016-06-27,8.4266,8.5513,7.7496,7.8832,6157100,0.0,0
2016-06-28,7.9723,8.4177,7.7852,8.0792,4272300,0.0,0
2016-06-29,8.1593,8.4533,8.0257,8.3909,2242300,0.0,0
2016-06-30,8.3909,8.7205,8.2306,8.7205,2870300,0.0,0
2016-07-01,8.676,8.9076,8.5869,8.6938,3028800,0.0,0
2016-07-05,8.5602,8.7027,8.2662,8.4266,1712200,0.0,0
2016-07-06,8.3553,8.4088,8.0435,8.3197,2538000,0.0,0
2016-07-07,8.3019,8.5424,8.2484,8.3642,2140900,0.0,0
2016-07-08,8.578,8.8274,8.5157,8.6671,2445200,0.0,0
2016-07-11,8.7651,9.3173,8.7205,9.1837,3476700,0.0,0
2016-07-12,9.3441,9.8518,9.2817,9.6469,4601500,0.0,0
2016-07-13,9.6558,9.7271,9.4688,9.7093,2178200,0.0,0
2016-07-14,9.9052,10.217,9.8162,10.021,3509800,0.0,0
2016-07-15,10.0923,10.2526,9.8696,10.2259,2030600,0.0,0
2016-07-18,10.2794,10.413,10.1279,10.4041,1492800,0.0,0
2016-07-19,10.3328,10.3952,10.119,10.1725,1827000,0.0,0
2016-07-20,10.2348,10.6713,10.0834,10.6535,2567400,0.0,0
2016-07-21,10.6267,10.7515,10.1992,10.2615,2253800,0.0,0
2016-07-22,10.3328,10.5555,10.217,10.5466,1729800,0.0,0
2016-07-25,10.4931,10.7425,10.413,10.5644,2080600,0.0,0
2016-07-26,10.413,10.502,9.9943,10.0656,4895300,0.0,0
2016-07-27,10.2972,10.413,9.8785,9.9854,4257000,0.0,0
2016-07-28,9.9498,9.9676,9.6113,9.9141,3629900,0.0,0
2016-07-29,9.6113,9.6915,8.8096,8.8541,5410100,0.0,0
2016-08-01,8.872,9.2372,8.6938,8.9967,3954500,0.0,0
2016-08-02,8.9165,9.0412,8.5513,8.7116,2835500,0.0,0
2016-08-03,8.774,8.8096,8.5602,8.676,2774800,0.0,0
2016-08-04,8.8541,9.1481,8.676,8.9788,3119700,0.0,0
2016-08-05,9.1481,9.5222,9.1481,9.2906,2758700,0.0,0
2016-08-08,9.5779,9.6317,9.2906,9.4073,1712600,0.08,0
2016-08-09,9.4342,9.542,9.2637,9.2906,1391500,0.0,0
2016-08-10,9.3175,9.4791,9.2098,9.2637,1042500,0.0,0
2016-08-11,9.3894,9.515,9.2637,9.3624,1266200,0.0,0
2016-08-12,9.3445,9.4163,9.2457,9.3534,986800,0.0,0
2016-08-15,9.3624,9.5958,9.3624,9.4971,1496600,0.0,0
2016-08-16,9.4971,9.5779,9.1829,9.2547,1457500,0.0,0
2016-08-17,9.2547,9.3445,9.0303,9.2188,1513500,0.0,0
2016-08-18,9.2008,9.4342,9.0842,9.138,2382100,0.0,0
2016-08-19,9.0303,9.2188,8.9854,9.0752,1616900,0.0,0
2016-08-22,9.1021,9.2996,8.8149,9.1829,2711700,0.0,0
2016-08-23,9.2547,9.3894,9.1649,9.1739,1659100,0.0,0
2016-08-24,9.2188,9.2727,8.9046,8.9316,2378000,0.0,0
2016-08-25,8.8777,9.0034,8.752,8.8508,1588300,0.0,0
2016-08-26,8.8867,9.0393,8.761,8.8956,1800600,0.0,0
2016-08-29,9.0572,9.1201,8.8687,9.0572,1597400,0.0,0
2016-08-30,9.0752,9.2368,8.9495,9.2278,2197400,0.0,0
2016-08-31,9.3175,9.524,9.2368,9.4253,3135400,0.0,0
2016-09-01,9.5509,9.6407,9.1201,9.2188,2224800,0.0,0
2016-09-02,9.2906,9.4073,9.138,9.3086,1231300,0.0,0
2016-09-06,9.3983,9.4253,9.0303,9.0393,1765600,0.0,0
2016-09-07,9.129,9.2906,9.0303,9.1201,1022000,0.0,0
2016-09-08,9.1111,9.2996,9.0123,9.2278,1314600,0.0,0
2016-09-09,9.147,9.2188,8.9764,9.0572,2496800,0.0,0
2016-09-12,8.9495,9.4522,8.9136,9.4073,1896600,0.0,0
2016-09-13,9.2816,9.4612,9.0752,9.1829,1097200,0.0,0
2016-09-14,9.2278,9.2727,8.9854,9.156,1303100,0.0,0
2016-09-15,9.1829,9.7035,9.1829,9.6497,2641200,0.0,0
2016-09-16,9.524,9.7664,9.3714,9.7035,3501400,0.0,0
2016-09-19,9.8292,10.0087,9.6676,9.8202,2225100,0.0,0
2016-09-20,9.919,9.919,9.6676,9.6856,1548600,0.0,0
2016-09-21,9.6497,9.7394,9.2008,9.3086,2514000,0.0,0
2016-09-22,9.4163,9.515,9.1739,9.2008,1798600,0.0,0
2016-09-23,9.1739,9.4163,8.9405,9.138,2902400,0.0,0
2016-09-26,8.9764,9.0572,8.6084,8.7071,3789000,0.0,0
2016-09-27,8.6712,8.8687,8.5815,8.7071,2052800,0.0,0
2016-09-28,8.761,9.129,8.5545,9.0572,3043000,0.0,0
2016-09-29,9.0662,9.1919,8.7969,8.8508,1860700,0.0,0
2016-09-30,8.9226,9.3445,8.8867,9.2368,2553600,0.0,0
2016-10-03,9.2457,9.4342,9.0662,9.1649,1612000,0.0,0
2016-10-04,9.138,9.3534,9.0752,9.129,1148100,0.0,0
2016-10-05,9.1919,9.3265,8.9854,9.2457,1815800,0.0,0
2016-10-06,9.3534,9.3534,9.0393,9.2727,1491000,0.0,0
2016-10-07,9.2547,9.2547,8.9316,9.1829,2385000,0.0,0
2016-10-10,9.2816,9.3624,9.129,9.1919,1133200,0.0,0
2016-10-11,9.147,9.2278,8.8687,8.9405,1775100,0.0,0
2016-10-12,8.8867,9.0123,8.8508,8.9226,825700,0.0,0
2016-10-13,8.8059,8.8238,8.5186,8.6892,2569500,0.0,0
2016-10-14,8.752,8.752,8.4468,8.5186,1778000,0.0,0
2016-10-17,8.4917,8.5545,8.4109,8.5276,1243500,0.0,0
2016-10-18,8.5994,8.6084,8.393,8.4917,3342300,0.0,0
2016-10-19,8.5276,8.761,8.4558,8.7071,1387100,0.0,0
2016-10-20,8.6802,8.743,8.4827,8.5815,1189700,0.0,0
2016-10-21,8.4917,8.6712,8.4468,8.6174,971800,0.0,0
2016-10-24,8.7071,9.0123,8.6623,8.9944,1721500,0.0,0
2016-10-25,8.9585,9.0842,8.6533,8.8149,2344400,0.0,0
2016-10-26,8.6623,8.8777,8.6443,8.8238,1349400,0.0,0
2016-10-27,8.8687,8.9046,8.7071,8.77,1638600,0.0,0
2016-10-28,8.6802,8.743,8.016,8.1147,4264000,0.0,0
2016-10-31,8.1147,8.2045,7.6928,7.7018,3643900,0.0,0
2016-11-01,7.7287,7.8723,7.5851,7.7736,3006700,0.0,0
2016-11-02,7.5582,7.63,7.3966,7.4684,2590000,0.0,0
2016-11-03,7.4594,7.5492,7.3786,7.4415,1367800,0.0,0
2016-11-04,7.3966,7.5851,7.3158,7.5223,2738100,0.0,0
2016-11-07,7.7941,7.912,7.5857,7.6129,2663500,0.08,0
2016-11-08,7.6219,7.7488,7.2504,7.5857,2491200,0.0,0
2016-11-09,7.2504,8.2745,7.2504,8.211,4906300,0.0,0
2016-11-10,8.3923,8.7276,8.2926,8.5192,3767900,0.0,0
2016-11-11,8.4286,8.5826,8.1385,8.2564,2749100,0.0,0
2016-11-14,8.2473,8.6733,8.2473,8.5101,2275700,0.0,0
2016-11-15,8.5101,8.6551,8.356,8.6279,1437600,0.0,0
2016-11-16,8.4557,8.6098,8.3923,8.5282,1062300,0.0,0
2016-11-17,8.5192,8.6551,8.4195,8.6189,1924000,0.0,0
2016-11-18,8.6189,8.9723,8.6189,8.918,2090700,0.0,0
2016-11-21,9.1083,9.2895,9.0176,9.2533,1999300,0.0,0
2016-11-22,9.2714,9.6249,9.2623,9.5795,2677800,0.0,0
2016-11-23,9.6158,10.2321,9.4527,10.1777,3620300,0.0,0
2016-11-25,10.1777,10.2865,9.9421,9.9874,1516900,0.0,0
2016-11-28,9.9149,10.1324,9.7517,9.788,2940600,0.0,0
2016-11-29,9.788,10.0236,9.6792,9.8152,2131400,0.0,0
2016-11-30,9.9693,10.1414,9.8605,10.0236,1792600,0.0,0
2016-12-01,10.0599,10.5312,10.0236,10.3408,3701300,0.0,0
2016-12-02,10.359,10.4858,9.9874,10.1414,2066400,0.0,0
2016-12-05,10.2774,10.4224,10.0689,10.1596,2185900,0.0,0
2016-12-06,10.1324,10.6037,10.0327,10.6037,2841400,0.0,0
2016-12-07,10.649,11.2924,10.5493,11.2471,3429100,0.0,0
2016-12-08,11.2471,11.7547,11.1384,11.7275,3635600,0.0,0
2016-12-09,11.8725,12.0719,11.5825,11.6187,3659300,0.0,0
2016-12-12,11.7365,11.7365,11.1293,11.2018,4045500,0.0,0
2016-12-13,11.3287,11.3831,11.0749,11.2471,2297400,0.0,0
2016-12-14,11.2199,11.3378,11.0568,11.2834,3395900,0.0,0
2016-12-15,11.3468,11.7184,11.1928,11.2653,2969100,0.0,0
2016-12-16,11.1928,11.3015,10.8212,10.8755,5692400,0.0,0
2016-12-19,10.9481,11.1656,10.7759,11.0024,1894600,0.0,0
2016-12-20,11.0024,11.0659,10.7577,11.0568,1942600,0.0,0
2016-12-21,11.0387,11.1474,10.8665,10.9118,1828800,0.0,0
2016-12-22,10.8755,10.8755,10.368,10.4315,2187200,0.0,0
2016-12-23,10.4496,10.4858,10.1686,10.3952,2453500,0.0,0
2016-12-27,10.3771,10.7577,10.3771,10.6037,2110200,0.0,0
