Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-11,32.75,35.0,32.1,34.46,34635800,0,0
2019-12-12,34.08,37.46,33.43,34.64,8121000,0,0
2019-12-13,34.7,38.32,34.1,37.71,5115700,0,0
2019-12-16,37.82,38.49,34.75,35.8,3946300,0,0
2019-12-17,35.86,35.86,33.36,34.3,2336500,0,0
2019-12-18,34.76,38.24,33.51,38.1,4238800,0,0
2019-12-19,37.5,38.3,35.85,37.76,2946800,0,0
2019-12-20,37.9,40.5,37.1,40.0,6497200,0,0
2019-12-23,40.06,40.19,37.86,39.23,667400,0,0
2019-12-24,39.0,40.0,38.2,39.63,180500,0,0
2019-12-26,39.75,39.99,38.42,38.67,330200,0,0
2019-12-27,38.82,39.42,37.78,38.49,499700,0,0
2019-12-30,38.61,38.97,37.11,38.27,322500,0,0
2019-12-31,38.32,38.62,37.75,38.52,389700,0,0
2020-01-02,38.59,39.12,38.2,38.59,1538800,0,0
2020-01-03,38.44,39.37,37.51,38.22,1207600,0,0
2020-01-06,37.74,37.8,35.63,36.21,1827200,0,0
2020-01-07,36.36,36.98,35.51,36.59,826000,0,0
2020-01-08,36.64,37.26,35.9,36.89,1771800,0,0
2020-01-09,36.71,37.98,36.16,37.82,1352800,0,0
2020-01-10,37.96,38.8,37.42,37.59,677700,0,0
2020-01-13,37.75,38.09,37.41,37.54,299200,0,0
2020-01-14,37.78,38.24,37.0,37.15,587800,0,0
2020-01-15,37.15,38.01,37.15,37.55,575300,0,0
2020-01-16,37.75,38.0,37.6,37.7,1010600,0,0
2020-01-17,38.01,39.89,37.82,38.79,2276700,0,0
2020-01-21,39.88,41.67,39.4,40.59,2413900,0,0
2020-01-22,41.65,43.52,41.5,42.48,2504800,0,0
2020-01-23,42.88,42.89,40.59,41.0,1129400,0,0
2020-01-24,41.02,41.48,37.92,38.53,2101600,0,0
2020-01-27,36.5,38.41,35.56,37.61,918200,0,0
2020-01-28,37.97,39.31,37.1,39.04,959700,0,0
2020-01-29,39.24,40.47,38.89,40.33,814300,0,0
2020-01-30,39.86,40.49,38.51,38.89,967300,0,0
2020-01-31,39.0,40.74,38.62,40.14,1201700,0,0
2020-02-03,40.18,41.92,39.92,40.46,689500,0,0
2020-02-04,40.81,41.54,38.81,38.97,636300,0,0
2020-02-05,39.44,40.24,39.13,39.9,400400,0,0
2020-02-06,40.22,40.45,37.92,38.3,966500,0,0
2020-02-07,38.26,38.38,36.79,37.36,1111800,0,0
2020-02-10,37.22,37.55,35.6,37.32,1247000,0,0
2020-02-11,37.36,39.16,37.36,38.99,753800,0,0
2020-02-12,39.11,41.12,39.11,40.91,625700,0,0
2020-02-13,40.73,42.05,39.81,41.36,499900,0,0
2020-02-14,41.46,41.57,39.58,40.32,582700,0,0
2020-02-18,40.5,41.3,40.01,40.94,475800,0,0
