Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,12.82,13.46,12.39,12.78,3057000,0,0
2015-11-17,12.88,13.1,12.3,12.68,2862100,0,0
2015-11-18,12.8,12.94,12.41,12.81,2937300,0,0
2015-11-19,13.05,13.74,12.69,12.85,3650500,0,0
2015-11-20,12.9,13.09,12.39,12.48,3153400,0,0
2015-11-23,12.53,13.05,12.35,12.65,2238900,0,0
2015-11-24,12.43,12.78,12.38,12.61,1447500,0,0
2015-11-25,12.55,13.03,12.55,12.92,1496800,0,0
2015-11-27,12.86,13.64,12.86,13.29,1276200,0,0
2015-11-30,13.38,13.7,12.78,13.08,2447500,0,0
2015-12-01,13.13,13.21,12.56,12.73,2195800,0,0
2015-12-02,12.68,13.08,12.64,12.69,1559500,0,0
2015-12-03,12.76,12.99,11.88,12.19,2734500,0,0
2015-12-04,11.6,11.91,10.31,11.43,7004700,0,0
2015-12-07,11.3,11.49,9.83,10.06,4637500,0,0
2015-12-08,10.35,10.9,10.11,10.26,3107700,0,0
2015-12-09,10.2,10.49,9.84,9.96,2541200,0,0
2015-12-10,10.03,10.24,9.59,9.65,2653500,0,0
2015-12-11,9.5,9.68,9.05,9.08,3450200,0,0
2015-12-14,9.04,9.13,8.02,8.51,4593300,0,0
2015-12-15,8.91,9.14,8.67,8.7,3148200,0,0
2015-12-16,8.75,8.99,8.36,8.55,4186100,0,0
2015-12-17,8.67,8.76,8.03,8.26,3602400,0,0
2015-12-18,8.27,8.72,8.06,8.07,8083200,0,0
2015-12-21,8.35,8.59,8.05,8.22,2534200,0,0
2015-12-22,8.35,8.39,7.81,8.14,3139200,0,0
2015-12-23,8.18,8.51,8.06,8.44,2367800,0,0
2015-12-24,8.33,8.62,8.31,8.4,809500,0,0
2015-12-28,8.3,8.4,8.0,8.08,2491500,0,0
2015-12-29,8.1,8.36,7.93,8.33,2463800,0,0
2015-12-30,8.34,8.77,8.21,8.48,3234700,0,0
2015-12-31,8.48,8.68,8.18,8.31,2802400,0,0
2016-01-04,8.02,8.21,7.88,7.97,2981900,0,0
2016-01-05,8.0,8.39,7.93,7.98,2610200,0,0
2016-01-06,7.88,7.9,7.02,7.28,4345700,0,0
2016-01-07,6.83,7.64,6.75,7.11,3180500,0,0
2016-01-08,7.22,7.33,6.76,7.0,2418100,0,0
2016-01-11,7.18,7.24,5.93,6.31,3991400,0,0
2016-01-12,6.5,6.78,5.94,6.27,3728800,0,0
2016-01-13,6.28,6.46,5.57,5.66,4850800,0,0
2016-01-14,5.74,6.3,4.66,5.99,6146800,0,0
2016-01-15,5.36,5.97,5.35,5.94,3461400,0,0
2016-01-19,6.05,6.15,5.33,5.47,2753700,0,0
2016-01-20,5.25,5.9,4.9,5.7,4488900,0,0
2016-01-21,5.9,6.23,5.48,5.49,3175400,0,0
2016-01-22,5.77,5.92,5.41,5.78,2375200,0,0
2016-01-25,5.75,6.1,5.55,5.59,2829000,0,0
2016-01-26,5.61,5.8,5.3,5.62,1838200,0,0
2016-01-27,5.63,5.69,5.1,5.14,2579100,0,0
2016-01-28,5.29,5.6,4.85,4.89,3581800,0,0
2016-01-29,4.91,5.15,4.75,4.97,3800600,0,0
2016-02-01,5.0,5.34,4.87,5.26,2358400,0,0
2016-02-02,5.15,5.34,4.95,5.03,2728500,0,0
2016-02-03,5.07,5.18,4.8,5.12,2650500,0,0
2016-02-04,5.13,5.64,5.05,5.35,2415000,0,0
2016-02-05,5.33,5.4,4.94,5.1,2512700,0,0
2016-02-08,4.95,5.05,4.76,4.93,2563300,0,0
2016-02-09,4.71,5.57,4.56,5.46,4109000,0,0
2016-02-10,5.53,5.99,5.35,5.38,2876200,0,0
2016-02-11,5.19,5.58,5.1,5.5,1751200,0,0
2016-02-12,5.69,5.75,5.24,5.6,1888800,0,0
2016-02-16,5.74,6.29,5.63,6.12,2293000,0,0
2016-02-17,6.3,6.64,6.2,6.43,3398900,0,0
2016-02-18,6.45,6.64,6.11,6.13,1845300,0,0
2016-02-19,6.22,6.33,6.01,6.15,1938600,0,0
2016-02-22,6.31,6.48,6.2,6.38,2322500,0,0
2016-02-23,6.33,7.5,6.33,7.27,4159700,0,0
2016-02-24,7.0,7.99,6.64,7.96,4354100,0,0
2016-02-25,7.97,8.12,7.54,7.59,2622800,0,0
2016-02-26,7.79,8.05,7.32,7.84,2744800,0,0
2016-02-29,7.95,8.25,7.83,7.86,2809100,0,0
2016-03-01,8.08,8.54,7.9,8.52,4620500,0,0
2016-03-02,8.52,9.6,8.35,9.45,5307600,0,0
2016-03-03,9.48,9.74,8.91,9.59,4410700,0,0
2016-03-04,9.59,9.72,8.28,8.95,4273200,0,0
2016-03-07,9.14,9.72,8.75,9.49,3034300,0,0
2016-03-08,9.46,9.48,8.89,8.9,2762600,0,0
2016-03-09,9.01,9.16,8.57,8.76,2388100,0,0
2016-03-10,8.81,8.96,8.0,8.16,2790800,0,0
2016-03-11,8.24,8.5,7.86,8.48,2500400,0,0
2016-03-14,8.48,8.71,8.22,8.36,1903100,0,0
2016-03-15,8.3,8.38,7.75,7.76,2930900,0,0
2016-03-16,7.77,7.91,7.04,7.12,3502800,0,0
2016-03-17,7.04,7.74,6.93,7.46,2612700,0,0
2016-03-18,7.6,8.27,7.43,7.66,6525500,0,0
2016-03-21,7.67,7.93,7.47,7.83,2453500,0,0
2016-03-22,7.61,8.0,7.61,7.81,1535800,0,0
2016-03-23,7.82,8.02,7.11,7.15,2302400,0,0
2016-03-24,7.05,7.38,6.8,7.16,1641800,0,0
2016-03-28,7.29,7.36,6.86,6.96,1699800,0,0
2016-03-29,6.94,7.36,6.6,7.34,2152400,0,0
2016-03-30,7.5,7.72,7.13,7.25,1524000,0,0
2016-03-31,7.25,7.59,7.2,7.42,1538500,0,0
2016-04-01,7.34,7.69,7.22,7.62,1991100,0,0
2016-04-04,7.65,8.32,7.45,7.92,3027300,0,0
2016-04-05,7.82,8.0,7.58,7.73,2274400,0,0
2016-04-06,7.73,8.47,7.73,8.47,2860600,0,0
2016-04-07,8.42,8.7,8.17,8.32,2455200,0,0
2016-04-08,8.36,8.59,8.28,8.43,1580000,0,0
2016-04-11,8.48,8.56,8.11,8.14,1658900,0,0
2016-04-12,8.13,8.2,7.7,8.1,2397400,0,0
2016-04-13,8.19,8.6,8.11,8.54,2110900,0,0
2016-04-14,8.57,8.72,8.4,8.62,1211600,0,0
2016-04-15,8.6,8.72,8.43,8.58,1353200,0,0
2016-04-18,8.54,9.1,8.47,8.92,2090500,0,0
2016-04-19,8.94,9.19,8.64,8.88,2902500,0,0
2016-04-20,8.98,9.18,8.71,8.79,1870800,0,0
2016-04-21,8.79,8.86,7.95,8.14,4413400,0,0
2016-04-22,8.18,8.3,7.81,8.09,2161100,0,0
2016-04-25,8.1,8.17,7.92,8.04,1444400,0,0
2016-04-26,8.03,8.19,7.81,8.1,2093900,0,0
2016-04-27,7.79,8.19,7.51,8.04,2194400,0,0
2016-04-28,7.99,8.31,7.94,7.98,1517300,0,0
2016-04-29,7.98,8.29,7.85,7.86,1756000,0,0
2016-05-02,7.87,7.97,7.61,7.88,1736700,0,0
2016-05-03,7.76,7.84,7.29,7.29,2106800,0,0
2016-05-04,7.28,7.29,6.74,6.82,2753700,0,0
2016-05-05,6.88,7.1,6.66,6.85,1827300,0,0
2016-05-06,6.79,7.1,6.66,7.0,1828200,0,0
2016-05-09,6.99,7.67,6.89,7.41,2126300,0,0
2016-05-10,7.42,7.78,7.26,7.48,2237800,0,0
2016-05-11,7.41,8.72,7.23,7.59,5839400,0,0
2016-05-12,7.83,8.12,7.45,7.59,3395200,0,0
2016-05-13,7.42,7.84,7.04,7.18,3396800,0,0
2016-05-16,7.31,7.35,6.75,7.07,3944400,0,0
2016-05-17,7.05,7.1,6.61,6.68,3616300,0,0
2016-05-18,6.67,7.12,6.66,7.0,2187900,0,0
2016-05-19,7.2,7.21,6.61,6.87,2966900,0,0
2016-05-20,6.54,7.06,6.47,7.05,3977000,0,0
2016-05-23,6.9,7.14,6.87,6.96,2480000,0,0
2016-05-24,7.02,7.06,6.79,7.02,2269100,0,0
2016-05-25,7.03,7.23,6.93,7.1,2032100,0,0
2016-05-26,7.15,7.2,6.94,7.06,1406000,0,0
2016-05-27,7.0,7.4,6.94,7.39,1703400,0,0
2016-05-31,7.42,7.8,7.29,7.79,2585000,0,0
2016-06-01,7.74,7.84,7.55,7.74,1584900,0,0
2016-06-02,7.65,7.99,7.64,7.85,2082900,0,0
2016-06-03,7.81,7.81,7.27,7.27,2468800,0,0
2016-06-06,7.28,7.51,6.95,7.48,2724700,0,0
2016-06-07,7.48,7.58,7.22,7.23,1932100,0,0
2016-06-08,7.28,7.42,7.1,7.11,1990000,0,0
2016-06-09,7.06,7.15,6.73,6.73,2207500,0,0
2016-06-10,6.58,6.62,6.32,6.47,2361300,0,0
2016-06-13,6.34,6.69,6.28,6.31,1544500,0,0
2016-06-14,6.29,6.4,5.98,6.15,3183200,0,0
2016-06-15,6.18,6.33,6.03,6.12,1838800,0,0
2016-06-16,6.08,6.25,5.96,6.23,1447500,0,0
2016-06-17,6.26,6.32,5.79,5.8,3780900,0,0
2016-06-20,6.0,6.15,5.83,6.04,2013700,0,0
