Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,5.09,5.22,5.09,5.21,317800,0,0
2015-11-17,5.23,5.28,5.15,5.19,544100,0,0
2015-11-18,5.19,5.47,5.13,5.44,1197200,0,0
2015-11-19,5.47,5.68,5.42,5.68,1430900,0,0
2015-11-20,5.7,5.75,5.48,5.49,600200,0,0
2015-11-23,5.52,5.64,5.49,5.58,797400,0,0
2015-11-24,5.52,5.74,5.52,5.71,626400,0,0
2015-11-25,5.72,5.78,5.63,5.68,349900,0,0
2015-11-27,5.58,5.78,5.55,5.73,203000,0,0
2015-11-30,5.77,5.77,5.6,5.61,566300,0,0
2015-12-01,5.64,5.72,5.57,5.68,297400,0,0
2015-12-02,5.65,5.75,5.63,5.66,285400,0,0
2015-12-03,5.68,5.74,5.56,5.56,377100,0,0
2015-12-04,5.56,5.71,5.56,5.6,458300,0,0
2015-12-07,5.58,5.6,5.41,5.49,432400,0,0
2015-12-08,5.43,5.59,5.33,5.54,325400,0,0
2015-12-09,5.53,5.57,5.42,5.45,218000,0,0
2015-12-10,5.45,5.49,5.35,5.37,255600,0,0
2015-12-11,5.27,5.57,5.26,5.36,685900,0,0
2015-12-14,5.43,5.43,5.27,5.32,279100,0,0
2015-12-15,5.32,5.36,5.21,5.33,338600,0,0
2015-12-16,5.35,5.38,5.25,5.35,337700,0,0
2015-12-17,5.36,5.39,5.18,5.21,349300,0,0
2015-12-18,5.18,5.26,5.14,5.25,935100,0,0
2015-12-21,5.26,5.31,5.05,5.06,343200,0,0
2015-12-22,5.06,5.18,5.0,5.17,278300,0,0
2015-12-23,5.18,5.25,5.13,5.23,234400,0,0
2015-12-24,5.21,5.28,5.17,5.24,102200,0,0
2015-12-28,5.25,5.28,5.15,5.23,364200,0,0
2015-12-29,5.25,5.37,5.16,5.25,387600,0,0
2015-12-30,5.28,5.29,5.16,5.18,192300,0,0
2015-12-31,5.19,5.22,5.08,5.08,247400,0,0
2016-01-04,5.0,5.01,4.81,4.82,437900,0,0
